participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,manual_diag
6377,1,0,0,1,Days,1,Hispanic,Female,Participant saved the post,0
6377,2,1,0,1,Hours,1,White,Male,,0
6377,3,1,0,2,Hours,1,White,Male,,0
6377,4,1,0,5,Hours,1,White,Male,,0
6377,5,0,0,1,Days,1,White,Female,Participant saved a link from the post,0
6377,6,1,0,20,Hours,1,White,Male,,0
6377,7,1,0,1,Days,1,White,Female,,0
6377,8,1,0,20,Hours,1,White,Male,,0
6377,9,0,0,2,Days,0,,,Participant saved a link from the post,0
6377,10,1,0,8,Days,1,Asian,Female,Participant also reacted to a comment on the post,0
4405,1,0,0,2,days,1,asian,female,post was by the participant,0
4405,2,0,0,2,days,1,asian,female,post was by the participant,0
4405,3,0,0,2,days,1,asian,female,post was by the participant,0
4405,4,0,0,2,days,1,asian,female,post was by the participant,0
4405,5,0,0,3,days,1,asian,female,post was by the participant,0
4405,6,0,0,5,days,1,asian,female,post was by the participant,0
4405,7,1,0,5,days,1,white,female,,0
4405,8,0,0,7,days,1,asian,female,post was by the participant,0
4405,9,0,0,8,days,1,asian,female,post was by the participant,0
4405,10,1,0,8,days,1,asian,female,,0
4904,1,1,0,6,hours,1,black or African American,female,,0
4904,2,1,0,5,hours,1,asian,male,,0
4904,3,1,0,4,days,1,asian,male,,0
4904,4,1,0,6,days,1,asian,female,,0
4904,5,1,0,3,days,1,hispanic,male,,0
4904,6,1,0,3,days,1,white,female,,0
4904,7,1,0,1,days,1,asian,male,,0
4904,8,1,0,21,hours,1,white,female,,0
4904,9,1,0,17,hours,1,white,female,,0
4904,10,1,0,1,days,1,asian,male,,0
9378,1,1,0,22,Hours,0,,,,0
9378,2,1,0,22,Hours,1,White,Female,,0
9378,3,1,1,16,Hours,1,White,Male,,0
9378,4,1,0,14,Hours,1,White,Female,,0
9378,5,0,1,1,Days,1,White,Male,"Friend replied to Participant's comment, and participant interacted with the reply as well",0
9378,6,1,0,22,Hours,1,White,Female,,0
9378,7,1,0,1,Days,1,Asian,Female,,0
9378,8,1,0,20,Hours,1,White,Female,,0
9378,9,1,0,2,Days,1,Black or African American,Male,,0
9378,10,1,0,2,Days,1,Asian,Female,,0
2454,1,1,0,1,Days,1,Hispanic,Female,,0
2454,2,1,0,17,Hours,1,White,Female,,0
2454,3,1,0,1,Days,1,White,Female,,0
2454,4,1,0,3,Days,1,White,Female,,0
2454,5,1,0,7,Days,1,White,Female,,0
2454,6,1,0,4,Days,1,Hispanic,Female,,0
2454,7,1,0,5,Days,1,White,Female,,0
2454,8,1,0,5,Days,1,White,Female,,0
2454,9,1,0,4,Days,1,White,Female,,0
2454,10,1,0,5,Days,1,White,Female,,0
7404,1,1,0,1,Days,1,White,Female,,0
7404,2,1,0,1,Days,1,White,Female,,0
7404,3,1,0,2,Days,1,White,Female,Person E,0
7404,4,1,0,2,Days,1,Asian,Female,,0
7404,5,1,0,3,Days,1,White,Female,,0
7404,6,1,0,5,Days,1,White,Female,,0
7404,7,1,0,5,Days,1,White,Female,,0
7404,8,1,0,7,Days,1,Asian,Female,,0
7404,9,1,0,7,Days,1,White,Female,Person A,0
7404,10,1,0,6,Days,1,White,Female,,0
6908,1,0,1,6,Hours,1,White,Male,Group A,0
6908,2,1,0,1,Days,1,Asian,Male,,0
6908,3,1,0,1,Days,1,Asian,Male,Group A,0
6908,4,1,0,1,Days,1,Black or African American,Male,Person C,0
6908,5,1,0,1,Days,1,,,Race/Gender - Unidentifiable,0
6908,6,1,0,1,Days,1,White,Female,Person B,0
6908,7,1,0,1,Days,1,Black or African American,Female,Group C,0
6908,8,0,1,2,Days,1,White,Male,Group A,0
6908,9,1,0,1,Days,1,Hispanic,Male,Person A,0
6908,10,1,0,1,Days,1,White,Male,Person E in Group A,0
8704,1,1,0,14,Days,1,white,male,,0
8704,2,1,0,14,days,1,asian,female,,0
8704,3,0,1,14,days,1,asian,male,,0
8704,4,0,1,14,days,1,asian,female,,0
8704,5,0,1,14,days,1,asian,female,,0
8704,6,1,0,20,days,1,asian,female,,0
8704,7,1,0,21,days,1,asian,female,,0
8704,8,1,0,21,days,1,asian,female,,0
8704,9,0,1,21,days,1,asian,female,,0
8704,10,1,0,37,days,1,asian,female,,0
2138,1,1,0,1,days,1,white,female,,0
2138,2,1,0,7,days,1,white,female,her own post,0
2138,3,1,0,6,days,1,white,female,,0
2138,4,1,0,6,days,1,white,female,,0
2138,5,1,0,11,days,1,white,male,,0
2138,6,1,0,14,days,1,white,female,,0
2138,7,1,0,15,Days,1,White,female,,0
2138,8,1,0,17,days,0,,,,0
2138,9,1,0,17,days,1,white,female,,0
2138,10,1,0,18,days,1,white,female,,0
8086,1,1,0,2,days,1,white,female,,0
8086,2,1,0,2,days,1,white,female,,0
8086,3,1,0,2,days,1,white,female,,0
8086,4,1,0,2,days,1,white,female,,0
8086,5,1,0,5,days,1,hispanic,female,,0
8086,6,1,0,10,days,0,,,,0
8086,7,1,0,10,days,0,,,,0
8086,8,1,0,11,days,1,white,female,,0
8086,9,1,0,11,days,1,white,female,,0
8086,10,1,0,17,days,0,,,,0
8179,1,1,0,2,hours,1,white,female,,0
8179,2,1,0,4,hours,1,white,male,,0
8179,3,1,0,22,hours,1,white,female,,0
8179,4,1,0,2,days,1,black or African American,male,,0
8179,5,1,0,2,days,1,white,male,,0
8179,6,1,0,2,days,1,asian,female,,0
8179,7,1,0,3,days,1,white,female,,0
8179,8,1,0,4,days,1,white,female,,0
8179,9,1,0,4,days,1,white,female,,0
8179,10,1,0,4,days,1,white,female,,0
7511,1,1,0,3,days,1,white,male,,0
7511,2,1,0,3,days,1,white,female,,0
7511,3,1,0,4,days,1,black or African American,female,,0
7511,4,1,0,4,days,1,white,female,,0
